keys,en,zh,_info
ureimu,reimu,灵梦,//////////////////////////人名
umarisa,marisa,魔理沙,
urumia,rumia,露米娅,
ucirno,cirno,琪露诺,
umeiling,meilin,红美铃,
upatchouli,patchouli,帕秋莉,
usakuya,sakuya,咲夜,
uremilia,remilia,蕾米莉亚,
uflandre,flandre,芙兰朵露,
udangoPea,dangoPea,豌豆团子,
udangoWater,dangoWater,水团子,
udangoFist,dangoFist,铁拳团子,
udangoDark,dangoDark,黑暗团子,
udangoIce,dangoIce,冰团子,
udangoTwinpea,dangoTwinpea,双豌豆团子,
udangoRedBean,dangoRedBean,红豆团子,
udangoSpellcard,dangoSpellcard,符札团子,
udangoLight,dangoLight,闪光团子,
udangoFire,dangoFire,火焰团子,
udangoClock,dangoClock,钟表团子,
udangoRedwine,dangoRedwine,红酒团子,
udangoChest,dangoChest,宝箱团子,
inputtutorial,Cardinal Move: WASD;num2468      Diagonal Move: QEZC;num1379\nEquipment: I         Memory: M         Barrage: O        Rest: space;num5\nSkills: K        Attributes: B          Talent Tree: T        Pick Up: G     Go Down: ↓,直向移动：WASD;num2468      斜线移动：QEZC;num1379\n装备栏：I         记忆栏：M         弹幕栏：O        休息：space;num5\n技能栏：K        能力栏：B          天赋树：T        拾取：G     下楼：↓,////////////////////////主面版
剩余技能点,Skill points,剩余技能点,////////技能属性版
剩余属性点,Ua points,剩余属性点,
力量,str,力量,
敏捷,dex,敏捷,
体质,con,体质,
灵力,spi,灵力,
魔力,mag,魔力,
灵巧,cun,灵巧,
当前状态,Having status,当前状态,////////战斗能力版
无,none,无,
背包容量,Inventory Weight,背包容量,
装备容量,Equipment Weight,装备容量,
体术命中,Body Accuracy,体术命中,
弹幕命中,Bullet Accuracy,弹幕命中,
闪避,Evasion,闪避,
擦弹,Graze,擦弹,
体术伤害,Body damage,体术伤害,
弹幕伤害,Bullet damage,弹幕伤害,
整体速度,Global speed,整体速度,
战斗速度,Combat speed,战斗速度,
移动速度,Move speed,移动速度,
持有技能,Having skills,持有技能,
主动技能,Activate skill,主动技能,//////////技能信息
被动技能,Passive skill,被动技能,
持续时间,Continue time,持续时间,
使用范围,Range,使用范围,
符卡,Spellcard,符卡,
回合,turns,回合,
冷却时间,Cooldown time,冷却时间,
SP要求,SP requirement,SP要求,
SP消耗,SP cost,SP消耗,
SP累计,SP get,SP累计,
MP消耗,MP cost,MP消耗,
技能,Skill,技能,//////////物品信息
抽取,Draw,抽取,
武器,Weapon,武器,
伤害,Damage,伤害,
速度,Speed,速度,
距离,Distance,距离,
命中率,Accurency,命中率,
暴击率,Critical Rate,暴击率,
剩余天赋点,Talent Point,剩余天赋点,
剩余技能点,Skill Point,剩余技能点,
剩余属性点,Stat Points,剩余属性点,
技能树,Skill group,技能树,
已捡起物品,pick up,已捡起物品,///////////////消息栏
被退治了,is elimated,被退治了,
进入了地图,Player enter map,进入了地图,
执行,use,执行,
展开了,activate,展开了,
超重了无法添加物品,your bag is overweighted; can't pick up,超重了 无法添加物品,
已捡起物品,pick up,已捡起物品,
没有可以互动的对象,has nothing to interact,没有可以互动的对象,
技能正在冷却中,the skill is cooldown,技能正在冷却中,
不满足发动条件,don't meet requirement,不满足发动条件,
你无法移动,you can't move!,你无法移动！,
这是被动技能,this is a passive skill,这是被动技能,
施加状态,get status,被,
不再,is no longer,不再,
acSpellBreak,{0} 's {1} broke {2} 's spellcard {3} ! It dealt {4} break damage,{0} 的 {1} 击破了 {2} 的符卡 {3} ！造成了 {4} 击破伤害,
acGrazeD,{0} 's {1} was grazed by {2} ; - {3} SP,{0} 的 {1} 被 {2} 擦弹了; 减少了 {3} 点SP,
acOverflow,{0} 's {1} hit {2} ; dealing {3} damage,{0} 的 {1} 击中了 {2} ; 造成了 {3} 伤害,
acGraze,{0} 's {1} was grazed by {2} ; + {3} SP,{0} 的 {1} 被 {2} 擦弹了; 增加了 {3} 点SP,
skill.evaded,{0} 's {1} was dodged by {2},{0} 的 {1} 被 {2} 闪避了,
skill.hit_damage,{0} 's {1} hit {2} dealing {3} damage,{0} 的 {1} 击中了 {2} ; 造成了 {3} 伤害,
激活中的符卡不允许升级！,can't upgrade active spellcard,激活中的符卡不允许升级！,
宝箱里空空如也,chest is empty.,宝箱里空空如也,
宝箱掉落了一些物品!,find some items in chest!,宝箱掉落了一些物品!,
ifNewMapMemory,Enter new map; Memory cap increases,进入新地图，记忆上限已提升,
ifCrit,deal a critical hit! ,造成了一次暴击！,
estr,+1 STR: +2% Physical DMG; +1% Crit,+1力量：+2%体术伤害; +1%暴击率,///////////////////////////////////////uaBox
edex,+1 DEX: +1% Speed; +1% Physical ACC; +1% EVA,+1敏捷：+1%整体速度; +1%体术命中; +1%闪避,
econ,+1 CON: +2% Healing; +5 Max HP,+1体质：+2%治疗系数; +5MaxHp,
espi,+1 SPI: +1% Bullet DMG; +1% Graze; +2 Max SP,+1灵力：+1%弹幕伤害; +1%擦弹率; +2MaxSp,
emag,+1 MAG: +1.5% Bullet DMG; +1 Max MP; +0.1 MP Regen,+1魔力：+1.5%弹幕伤害; +1MaxMp; +0.1Mp回复,
ecun,+1 CUN: +1% Bullet ACC; +2 Equip Load; +2 Backpack,+1灵巧：+1%弹幕命中; +2装备负重; +2背包负重,
sgGeneral,General,通用,/////////////////技能组名
sgFreeze,Freeze,冻结,
sgStar,Star,星光,
sgDark,Dark,黑暗,
sgYinyangBall,YinyangBall,阴阳玉,
sgFist,Fist,拳术,
sgFireElement,FireElement,火元素,
sgTime,Time,时间,
sgBlood,Blood,血液,
stFrozen,Frozen,冻结,///////////////////状态名
stDark,Dark,黑暗,
stWeak,Weak,虚弱,
stYinyangBall,YinyantgBall,阴阳玉,
stSpiritSeal,SpiritSeal,封灵,
stMagicSeal,MagicSeal,封魔,
stDaze,Daze,眩晕,
stStun,Stun,震慑,
stPinned,Pinned,定身,
stBulletShield,BulletShield,弹幕护盾,
stNumberShield,NumberShield,缓冲护盾,
stBurned,Burned,燃烧,
stSSpiralLightSteps,SpiralLightSteps,螺光步,///////////////////专用状态名
stSCrimsonEnergyRelease,CrimsonEnergyRelease,红寸劲,
stSScarletNetherworld,ScarletNetherworld,红色的冥界,
stSAgniRadiance,AgniRadiance,火神威光,
stSImaginaryVerticalTime,ImaginaryVerticalTime,假想时轴,
stSPerfectSquare,PerfectSquare,完美空间,
stSLunaDial,LunaDial,月时计,
sdFrozen,Cannot act; takes only 10% damage.,自身无法行动，但只受到10%的伤害。,///////////////////状态描述
sdDark,Vision -8,视野-8,
sdWeak,Strength -6; damage dealt -30%.,力量减少6、造成的所有伤害下降30%。,
sdYinyangBall,When taking Body damage; consume 1 Yin-Yang Orb to reduce damage by {0}; firing Bullets also fires 1 Yin-Yang Orb.,受到体术伤害时，消耗1个阴阳玉降低 {0} 伤害；发射弹幕时，同时发射1个阴阳玉。,
sdSpiritSeal,Cannot spend SP to use skills; SP does not recover.,无法消耗灵力值使用技能，且灵力值不会回复。,
sdMagicSeal,Cannot spend MP to use skills; MP does not recover.,无法消耗魔力值使用技能，且魔力值不会回复。,
sdDaze,Combat speed -50%; accuracy -50%.,战斗速度-50%、所有命中率-50%。,
sdStun,Combat speed -50%; damage dealt -50%.,战斗速度-50%、造成的伤害-50%。,
sdPinned,Cannot move; dodge -20%.,无法移动、闪避率下降20%。,
sdBulletShield,Blocks {0} Bullet damage.,抵挡 {0} 弹幕伤害,
sdNumberShield,Blocks the next {0} damage instances.,抵挡 {0} 次伤害,
sdBurned,Body damage -50%; lose {0} HP each turn.,造成的体术伤害-50%、每回合失去 {0} HP。,
sdSSpiralLightSteps,Move speed +{0}%; moving deals 15 sonic Bullet damage to enemies within 2 tiles. {1},移动速度+ {0} %; 每次移动对2格内敌人造成15点音波弹幕伤害。{1},
sdSSpiralLightSteps0,20% chance to stun for 3 turns.,20%使其眩晕3回合。,
sdSCrimsonEnergyRelease,Bullet damage taken -{0}%; Body damage +{0}%.,受到的弹幕伤害- {0} %、造成的体术伤害+ {0} %,
sdSScarletNetherworld,Non-vampires in the red mist: Strength; Agility; Constitution -5; take 10 wither damage each turn. Vampires: Mana; Spirit +5.,非吸血鬼单位在红雾中力量、敏捷、体质-5; 每回合受到10点枯萎伤害；吸血鬼单位在红雾中魔力、灵力+5。,
sdSAgniRadiance,Fire damage +{0}%; fire resistance +100%. Units within 3 tiles: 20% chance each turn to be shocked. {1},火焰伤害+ {0} %; 火焰抗性+100%; 3格内单位每回合20%被震慑直到技能结束。{1},
sdSAgniRadiance0,Units within 3 tiles take 20 sonic Bullet damage each turn.,3格内单位每回合受到20音波弹幕伤害。,
sdSImaginaryVerticalTime,Next Bullet activation repeats {0} times.,下一次弹幕发动将连续发动 {0} 次,
sdSPerfectSquare,Speed +{0}%. Enemy bullets within {1} tiles: speed -{2}%; accuracy -{3}%.,整体速度+ {0} %;  {1} 格内敌人弹幕速度- {2} %; 命中率- {3} %。,
sdSLunaDial,Time stop.,时间暂停,
sdSLunaDial0,Take 50 damage when time resumes.,解除后受到50点伤害。,
snRest,Rest,休息,////////////////////////技能名
snMove,Move,移动,
snInteract,Interact,互动,
snAttack,Attack,攻击,
snShoot,Shoot,射击,
snAsteroidBelt,AsteroidBelt,小行星带,
snMilkyWay,MilkyWay,银河,
snBlazingStar,BlazingStar,闪耀之星,
snDragonMeteor,DragonMeteor,流星群,
snStardustReverie,StardustReverie,星尘幻想,
snIcefall,Icefall,冰坠,
snMinusK,MinusK,负K,
snDiamondBlizzard,DiamondBlizzard,钻石风暴,
snPerfectGlacialist,PerfectGlacialist,完美冰川学家,
snPerfectFreeze,PerfectFreeze,完美冻结,
